,KIC,Right Ascension,Declination,Magnitude in Kepler Band,RMSE,Average Epsilon,Epsilon/P_MAX,slope,slope/P_MAX,standard dev,standard dev/P_MAX,R2_LSP,Composite Function
84,8144212,281.79269,44.072189,14.229,0.200783101,0.001616152,0.015079829,4.52E-05,0.000422004,0.00089868,0.008385313,0.999912955,f(t) = 1.000000 + 0.001500 * sin(2?? * 9.330700 * t + -1.742785) + 0.001100 * sin(2?? * 12.187100 * t + 0.000015) + 0.001000 * sin(2?? * 8.394600 * t + -0.342300) + 0.001000 * sin(2?? * 8.926000 * t + -0.000015)
85,8150307,285.16141,44.017181,14.782,0.141793959,-0.001544767,-0.022729238,-1.51E-05,-0.000222177,0.000427822,0.006294845,0.999978248,f(t) = 1.000000 + 0.005000 * sin(2?? * 14.713700 * t + -0.000015) + 0.001200 * sin(2?? * 13.714500 * t + -0.000015)
86,8245366,295.89133,44.105434,11.185,0.512982755,-0.011388992,-0.135981148,0.000145855,0.001741465,0.001949914,0.023281388,0.999996172,f(t) = 1.001700 + 0.011500 * sin(2?? * 11.939700 * t + 1.858185) + 0.006500 * sin(2?? * 10.289000 * t + -0.000015) + 0.002300 * sin(2?? * 7.955400 * t + -0.623700) + 0.001900 * sin(2?? * 8.306900 * t + 0.302985) + 0.001800 * sin(2?? * 9.047800 * t + -0.000015) + 0.001200 * sin(2?? * 7.103200 * t + 0.675300)
87,8248967,296.94406,44.166401,15.056,0.145197614,-0.002741404,-0.009253609,1.59E-05,5.37E-05,0.000745342,0.002515902,0.999980102,f(t) = 0.982300 + 0.164700 * sin(2?? * 3.375500 * t + -0.180085) + 0.020500 * sin(2?? * 6.752400 * t + -0.000015)
88,8249829,297.15857,44.166672,14.288,0.238241008,0.00096007,0.016130328,5.42E-06,9.10E-05,0.000378088,0.006352332,0.999975713,f(t) = 1.000100 + 0.003000 * sin(2?? * 16.801200 * t + -0.000015) + 0.000400 * sin(2?? * 1.893900 * t + 2.295800) + 0.000400 * sin(2?? * 17.444500 * t + 0.803585) + 0.000300 * sin(2?? * 23.607000 * t + -0.000015)
89,8315263,296.99152,44.26968,14.323,0.276890941,0.001252801,0.016579318,3.44E-05,0.000454642,0.000846099,0.011197105,0.999838481,f(t) = 1.000300 + 0.007900 * sin(2?? * 13.233800 * t + -2.323000) + 0.003600 * sin(2?? * 13.874900 * t + -0.000015) + 0.002000 * sin(2?? * 15.776600 * t + -0.000015) + 0.001700 * sin(2?? * 17.712200 * t + -0.000015) + 0.001600 * sin(2?? * 18.148100 * t + -0.000015)
90,8393922,300.26193,44.352291,14.032,0.302492754,-0.00057435,-0.007512728,2.82E-05,0.000369199,0.00089849,0.011752609,0.999693381,f(t) = 1.000100 + 0.002100 * sin(2?? * 13.080400 * t + -0.000015) + 0.001200 * sin(2?? * 21.470300 * t + -0.000015) + 0.001000 * sin(2?? * 18.275700 * t + -0.044600) + 0.000800 * sin(2?? * 14.835100 * t + -0.000015)
91,8516900,298.64468,44.532631,14.177,0.28804574,-0.002631725,-0.033921356,2.78E-06,3.58E-05,0.001086531,0.014004733,0.999705413,f(t) = 1.000100 + 0.004000 * sin(2?? * 12.889400 * t + -0.000015) + 0.003200 * sin(2?? * 16.354100 * t + -0.000015) + 0.001700 * sin(2?? * 12.302500 * t + -0.000015) + 0.001700 * sin(2?? * 19.830100 * t + -0.000015) + 0.001600 * sin(2?? * 11.549700 * t + -0.000015) + 0.001600 * sin(2?? * 10.869600 * t + 0.769685)
92,8648251,299.10468,44.773991,14.604,0.099382554,-0.003555655,-0.053755459,1.70E-05,0.000257007,0.000185167,0.00279941,0.999977095,f(t) = 1.000000 + 0.006300 * sin(2?? * 15.118300 * t + 2.198200) + 0.006200 * sin(2?? * 19.510000 * t + 0.000015)
93,8649814,299.52292,44.73344,14.43,0.234140648,0.002206221,0.01676375,6.14E-05,0.000466407,0.001284315,0.009758739,0.999862417,f(t) = 1.000200 + 0.007000 * sin(2?? * 7.598400 * t + 2.453885) + 0.005000 * sin(2?? * 9.551200 * t + -0.000015) + 0.004500 * sin(2?? * 15.599100 * t + -0.000015) + 0.002000 * sin(2?? * 11.295900 * t + -0.000015) + 0.001800 * sin(2?? * 9.022200 * t + -0.000015) + 0.001000 * sin(2?? * 1.617500 * t + -0.000015) + 0.000700 * sin(2?? * 9.928100 * t + -0.000015)
94,8960514,294.4621,45.259651,14.399,0.306568416,-0.000979638,-0.006559362,5.26E-05,0.000352259,0.008975224,0.060095407,0.999822171,f(t) = 1.000200 + 0.003800 * sin(2?? * 6.695700 * t + 0.000015) + 0.000400 * sin(2?? * 2.124400 * t + 0.000015)
95,8963394,295.38419,45.280109,14.48,0.138227954,-0.003931998,-0.021097922,2.06E-06,1.10E-05,0.000433062,0.002323681,0.999980194,f(t) = 0.980400 + 0.163400 * sin(2?? * 5.365700 * t + -1.614300) + 0.017200 * sin(2?? * 10.731900 * t + -0.000015)
96,9075949,285.70135,45.425152,14.586,0.244441321,0.007303959,0.041552223,0.000101392,0.000576819,0.000509758,0.002900013,0.99988733,f(t) = 0.989100 + 0.140300 * sin(2?? * 5.689000 * t + 0.000015)
97,9077483,286.55652,45.47319,15.362,0.109473034,-0.001449871,-0.007776963,-1.50E-06,-8.05E-06,0.000630648,0.003382733,0.999995665,f(t) = 0.983400 + 0.144100 * sin(2?? * 5.363900 * t + -1.698985) + 0.020700 * sin(2?? * 2.667800 * t + -1.307985) + 0.015500 * sin(2?? * 10.727900 * t + -2.059600)
98,9137819,283.36523,45.533569,14.991,0.106140629,-0.016747172,-0.061220962,-6.73E-06,-2.46E-05,0.000853229,0.003119064,0.999985773,f(t) = 1.009900 + 0.197000 * sin(2?? * 3.655600 * t + 1.964400) + 0.036000 * sin(2?? * 7.311700 * t + -0.000015)
99,9202969,284.02448,45.665798,14.515,0.112484607,-0.002084796,-0.010369567,4.46E-05,0.000222055,0.000408094,0.002029819,0.999993101,f(t) = 0.999800 + 0.047200 * sin(2?? * 4.973900 * t + 0.000015)
100,9214444,290.26773,45.692348,14.2,0.464514854,0.001398988,0.030277738,3.75E-05,0.000812088,0.003488951,0.075509971,0.99837612,f(t) = 1.000100 + 0.000600 * sin(2?? * 21.642600 * t + -0.000015) + 0.000500 * sin(2?? * 20.237000 * t + 2.813900) + 0.000300 * sin(2?? * 17.605100 * t + -0.000015) + 0.000300 * sin(2?? * 23.331700 * t + -0.000015) + 0.000300 * sin(2?? * 20.755200 * t + 2.216185) + 0.000200 * sin(2?? * 17.961400 * t + -0.000015) + 0.000200 * sin(2?? * 21.258100 * t + -0.000015)
101,9364179,299.10205,45.80669,14.142,0.427009481,0.001949572,0.059928284,5.29E-05,0.001627208,0.002678348,0.082330275,0.999964439,f(t) = 1.000000 + 0.003500 * sin(2?? * 30.739200 * t + 0.000015) + 0.001300 * sin(2?? * 29.234700 * t + -2.464485) + 0.001200 * sin(2?? * 30.027300 * t + -0.000015)
102,9594857,294.49481,46.238731,11.021,0.538399222,0.027426489,0.27309104,0.000140732,0.001401297,0.00087876,0.008749989,0.999996775,f(t) = 1.000100 + 0.011500 * sin(2?? * 9.957200 * t + -2.163000) + 0.003600 * sin(2?? * 6.056700 * t + 1.659600) + 0.002900 * sin(2?? * 7.447900 * t + 2.692500) + 0.002700 * sin(2?? * 6.869200 * t + -1.782385) + 0.001600 * sin(2?? * 4.322800 * t + 2.373285)
103,9614153,300.4726,46.210602,14.18,0.254279561,-0.002073289,-0.027418832,2.50E-05,0.000331251,0.00051735,0.00684185,0.999881674,f(t) = 1.000000 + 0.002700 * sin(2?? * 13.224800 * t + -0.000015) + 0.001600 * sin(2?? * 14.885400 * t + 1.201000)
104,9700322,286.96127,46.486633,12.685,0.471992026,0.02585237,0.324956538,9.79E-05,0.001230184,0.001952693,0.024544765,0.999998086,f(t) = 1.002400 + 0.011400 * sin(2?? * 12.569700 * t + -1.534100) + 0.010600 * sin(2?? * 9.794800 * t + 2.597185) + 0.001900 * sin(2?? * 22.363600 * t + 1.618300)
105,9706609,290.2919,46.447239,14.144,0.553036875,-0.000800892,-0.005907379,6.08E-05,0.000448329,0.019064452,0.140619398,0.997533165,f(t) = 0.999900 + 0.000500 * sin(2?? * 7.376000 * t + 1.360500) + 0.000300 * sin(2?? * 7.053300 * t + -0.000015) + 0.000200 * sin(2?? * 5.857200 * t + 1.719200) + 0.000200 * sin(2?? * 8.007700 * t + 0.459600)
106,9724292,297.10431,46.445251,14.397,0.239400556,0.001793885,0.024777498,3.23E-05,0.000445589,0.001750722,0.024181322,0.999833004,f(t) = 1.000100 + 0.003500 * sin(2?? * 13.812200 * t + -0.000015) + 0.002600 * sin(2?? * 11.174600 * t + -0.000015) + 0.001600 * sin(2?? * 13.166500 * t + 2.768685) + 0.001500 * sin(2?? * 12.085500 * t + -0.000015) + 0.001100 * sin(2?? * 11.571100 * t + -0.000015) + 0.001100 * sin(2?? * 13.483200 * t + -1.072200) + 0.000800 * sin(2?? * 12.486800 * t + -0.000015) + 0.000500 * sin(2?? * 14.469000 * t + -0.000015) + 0.000400 * sin(2?? * 15.547700 * t + -0.000015) + 0.000400 * sin(2?? * 16.034800 * t + -0.000015)
107,9942562,287.51093,46.88287,14.597,0.366152872,0.003928837,0.026786025,3.02E-06,2.06E-05,0.001984477,0.013529767,0.999827125,f(t) = 0.999900 + 0.000900 * sin(2?? * 6.817800 * t + -0.740985)
108,10451090,282.48297,47.637321,9.21,0.322674462,5.48E-05,2.10E-03,1.12E-05,4.30E-04,0.000505116,1.94E-02,0.999995729,f(t) = 1.000000 + 0.002100 * sin(2?? * 38.376600 * t + -1.957785) + 0.001400 * sin(2?? * 32.845700 * t + 2.991700) + 0.001000 * sin(2?? * 29.161500 * t + 2.465100) + 0.000900 * sin(2?? * 36.927600 * t + -2.992485) + 0.000800 * sin(2?? * 34.239600 * t + -1.513000) + 0.000500 * sin(2?? * 30.877600 * t + -3.015385) + 0.000500 * sin(2?? * 33.231200 * t + -2.089200) + 0.000200 * sin(2?? * 35.940700 * t + 2.092200)
109,11143576,294.68216,48.705921,15.051,0.190466166,0.001266562,0.019894903,-1.24E-05,-0.000194777,0.000775155,0.01217598,0.999978007,f(t) = 0.999900 + 0.014400 * sin(2?? * 15.707800 * t + -0.000015) + 0.003300 * sin(2?? * 15.047900 * t + 1.746185)
110,11704101,286.94263,49.831631,15.441,0.669476027,0.008885084,0.051544149,0.000269699,0.001564578,0.000995711,0.005776319,0.999962486,f(t) = 0.987100 + 0.069100 * sin(2?? * 5.801200 * t + -0.000015) + 0.008700 * sin(2?? * 11.600900 * t + 0.605985) + 0.008300 * sin(2?? * 2.888400 * t + 2.939385)
111,11852985,284.99982,50.100349,14.373,0.180535826,-0.00240084,-0.047345285,-2.94E-06,-5.80E-05,0.000209775,0.004136826,0.999967347,f(t) = 0.999900 + 0.012600 * sin(2?? * 19.720300 * t + -2.349485)
